Rank,Similarity,Sentiment,Comment
18,0.449,Negatif,Ga di bantai aja udah sukur ini rumah sakit FC wkwkwkwk
19,0.4484,Netral,@RacunCintaaMu Rumah sakit jaman dulu
20,0.4433,Netral,"@uwouw_ rumah sakit ninuninu, hindia oke si sm rc"
21,0.4416,Netral,"Aksi humanis ditunjukkan personel Satpolairud Polres Lombok Timur saat membantu seorang warga lanjut usia (lansia) di Dermaga Telong-Elong, Senin (12/5). Lansia tersebut diketahui baru pulang menjalani pengobatan di rumah sakit dan hendak kembali ke rumahnya menggunakan perahu. https://t.co/MuuWLbVa0h"
22,0.4406,Netral,"Yogyakarta - Jajaran personel Polsek Danurejan Polresta Yogyakarta mengikuti kegiatan apel pengamanan Bethesda Heritage Fun Run 2026 yang digelar di Rumah Sakit Bethesda, Jalan Jenderal Sudirman, Kota Yogyakarta. Minggu. ( 17/5/2026) Pagi. https://t.co/U7SLPEKn7p"
23,0.4383,Negatif,Rumah sakit - Sandiwara Semu
24,0.4374,Positif,"🏥 PROFIL RSUD dr. SOEHADI PRIJONEGORO SRAGEN

RSUD dr. Soehadi Prijonegoro Sragen hadir sebagai rumah sakit rujukan yang terus berkomitmen memberikan pelayanan kesehatan terbaik bagi masyarakat dengan pelayanan yang profesional, ramah, dan berkualitas. ✨

#RSUDSragen https://t.co/klay9F0Pot"
25,0.4364,Netral,"NIK adek, bokap, sama nyokap juga halaf *gua si PIC administrasi rumah sakit, dsb😭"
26,0.4356,Netral,"Murung Raya — PLN ULP Puruk Cahu melakukan kunjungan dan koordinasi teknis dengan RSUD Puruk Cahu di Kab. Murung Raya, Selasa (12/5/2026), sebagai tindak lanjut atas permohonan pengecekan gangguan kelistrikan yang terjadi di lingkungan rumah sakit dalam beberapa waktu terakhir. https://t.co/HcrHqtTbYc"
27,0.4352,Netral,"Kasrem 032/Wbr Kolonel Inf Irvan Yusri, S.I.P., hadir dalam kegiatan Operasi Katarak Bagi Masyarakat dalam rangka Karya Bakti TNI Skala Besar TA 2026 di Rumah Sakit Dr. Reksodiwiryo Padang, Jumat, (22/5/2026). https://t.co/6nuBcfuPx9"
28,0.4336,Netral,met ultah om kesayangan warga rsj (rumah sakit juji) https://t.co/hQfjPbAIT9
29,0.4334,Netral,Yah bekas rumah sakit di kotaku udah ganti jadi univ jir
30,0.4331,Netral,"@hanyodoni rsu, rumah sakit ushijima"
31,0.4331,Netral,Ini maksutnye suruh rsvp BANGSAL RUMAH SAKIT https://t.co/3GoIGiFLy5
32,0.4297,Netral,"ㅤㅤㅤㅤ

ㅤㅤ“𝘏𝘢𝘭𝘰, 𝘕𝘥𝘶𝘬? 𝘓𝘢𝘨𝘪 𝘳𝘦𝘱𝘰𝘵 𝘯𝘦𝘯𝘨 𝘳𝘶𝘮𝘢𝘩 𝘴𝘢𝘬𝘪𝘵 𝘮𝘣𝘰𝘵𝘦𝘯, 𝘤𝘢𝘩 𝘢𝘺𝘶?”

“Mboten, Bu. Indu dapet jatah long weekend, jadi hari ini libur, mboten ke RS. Ini lagi leyeh-leyeh aja di apartemen. Kenapa, Bu?”

ㅤㅤ"
33,0.4292,Netral,"Di tengah reputasinya sebagai CEO muda rumah sakit terbesar di kota, Lu Zhaoxi menyimpan rahasia yang tak diketahui siapa pun, ia adalah pewaris ajaran Tao kuno yang mampu melihat dan mengusir roh."
34,0.4284,Netral,"Enak anggota baru?

Yg tua nebeng rumah sakit gitu?

Yang ngetem hahahaha"
35,0.427,Negatif,@munvess sandiwara semu nya rumah sakit...
36,0.4269,Netral,"Di rumah sakit ,bonus dedek 
https://
https://t.co/ixJZfwuW7r
https://t.co/z0MMvzZSBd https://t.co/KBeGXsv5qP"
37,0.4266,Netral,"Pernyataan itu disampaikan Budi Gunadi saat mengunjungi Rumah Sakit Umum Daerah RSUD KH Daud Arif di Kota Kuala Tungkal, Kabupaten Tanjungjabung Barat, Jambi, Rabu (6/5).
https://t.co/lp0MDB46ze"
38,0.4262,Netral,@mcflurryoneepls Yg di cafe apa rumah sakit kak?
39,0.4242,Positif,Siloam Hospitals Mampang Gandeng Agewell Hadirkan Layanan Kesehatan Lansia https://t.co/WuxAlaZW52
40,0.4236,Netral,"Nek seneng uwong ojo jeru-jeru bos, rumah sakit ora nompo wong loro ati."
41,0.4232,Netral,"Innalillahi wa inna ilaihi raji’un

Telah berpulang ke Rahmatullah ibu kami tercinta:

Nama: Rohana Binti Sajum
Usia:  76 Tahun

Pada hari ini, Jum'at (6/5/2026) pukul 01.15 WIB di Rumah Sakit Umum Mitra Guray Petumbukan.

Alamat duka: Desa Tanjung Siporkis, Kecamatan Galang, https://t.co/DtXPBmpZRE"
42,0.4227,Netral,"Aktivitas di Rumah Sakit Zending Mojowarno, Jombang, Jawa Timur, sekitar tahun 1927 pada masa kolonial Hindia Belanda. Dalam video terlihat sebuah mobil klasik digunakan untuk mengevakuasi pasien menuju rumah sakit misi Kristen di Mojowarno, salah satu pusat pelayanan kesehatan https://t.co/6wUUsmLkpn"
43,0.4214,Netral,"Selamat dan sukses atas Milad ke-13 RS UMMI! 

Semoga RS UMMI terus menjadi rumah sakit yang senantiasa menghadirkan pelayanan kesehatan yang profesional, humanis, inovatif, dan penuh ketulusan bagi masyarakat. https://t.co/hVKo6VaIzT"
44,0.4213,Netral,"RS Adam Malik lakukan visitasi pengampuan layanan Kesehatan Ibu dan Anak (KIA) di RSUD Sultan Sulaiman, Serdang Bedagai, Selasa (19/5/2026).

Visitasi ini dilakukan untuk memberikan pendampingan dalam layanan maternal and neonatal care untuk kesehatan ibu dan bayi baru lahir. https://t.co/XOCT0De5gm"
45,0.4207,Netral,"Setelah puluhan tahun melayani masyarakat, RSUD Kraton akhirnya harus angkat kaki dari gedung lamanya di Jalan Veteran. Lahan yang sempit, ancaman rob dan banjir, hingga persoalan status kepemilikan tanah menjadi alasan kuat di balik keputusan relokasi ini.

Uniknya, meski https://t.co/AEUKBE0qsi"
46,0.4188,Netral,"@Mojolegen Aku lagi nunggu kabar dr rumah sakit rujukan biar kk ku bisa dipindah dr igd rs yg sekarang, kebetulan rs yg sekarang ruangan yg ada hcu nya full jd harus dirujuk ke rs lain
Mohon doanya semoga ada titik terang 🤲🏻 hari ini sudah hari ke4 jaga"
47,0.4181,Netral,"Lahan yang sejak lama dijanjikan untuk pembangunan rumah sakit daerah, kini justru berdiri bangunan Kopdes Merah Putih (KDMP). 

Padahal, lokasi itu sudah masuk RPJMD resmi Pemerintah Kabupaten Sukabumi untuk RSUD Sukalarang. Masyarakat enam desa sudah bertahun-tahun menunggu https://t.co/iID8HhZemn"
48,0.4176,Netral,Maenya strong tepi ka pincang ka rumah sakit🤣
49,0.416,Netral,"Kajati Jabar Dr. Sutikno, S.H., M.H. menerima kunjungan silaturahmi dari jajaran Rumah Sakit Cicendo, Rumah Sakit Rotinsulu, Rumah Sakit Hasan Sadikin, dan Rumah Sakit Gunawan di Kantor Kejaksaan Tinggi Jawa Barat (22/05/2026). https://t.co/MnOmQa6nu5"
50,0.4156,Netral,"@racunsiwi melangkah kan kaki ke rumah sakit dengan cengiran sampe depok

LOVE UPON A TIME EP7
#ภพเธอEP7"
51,0.414,Netral,"Di Nusa Tenggara Timur, pemerintah melalui Kementerian Sosial turun langsung melayani para lansia dari rumah ke rumah melalui layanan kesehatan, asesmen sosial, dan penyaluran bantuan sosial dalam rangka Hari Lanjut Usia Nasional 2026. https://t.co/9kN5C7YPFw"
52,0.4112,Netral,Day 2 staycation di Rumah sakit. Ada yang motong keramik(lantai bawah RS renovasi) Allahuakbar 🤣😭
53,0.4112,Netral,@txtdrkuliner Abis akuisisi rumah sakit lanjut tempat hangout https://t.co/haLIRhFLlI
54,0.4096,Positif,"Sambut HUT Bhayangkara ke-80, Satlantas Polres PPU Gelar Layanan Kesehatan Gratis untuk Ojol dan Warga

#polri #divhumas #poldakaltim #polriuntukmasyarakat https://t.co/am9x8Dcyz2"
55,0.4089,Netral,"@ArtaN7707 prestasi anies
1) ganti nama korupsu jadi elebihan bayar
2) ganti nama rumah sakit jadi rumah sehat
3) ganti nama jalan
4) ganti nama HUT DKI jadi hajatan DKI
5) Ganti nama Kota tua jadi Batavia
6) bangun Bambu mesum
7) trotoar di lubangin jala"
56,0.4079,Netral,@pwettynxde rumah sakit bekas apa lan?
57,0.4073,Netral,"Gibran tinjau RSD di Bandarlampung guna perkuat layanan kesehatan
https://t.co/9mLjvXVNn1"
58,0.406,Netral,@unecessaryevill Malah kayak nama bangsal rumah sakit.
59,0.4055,Netral,Punteun caket rumah sakit mah wededed na rada dikalemkeun rada di tahan egona
60,0.4043,Netral,Pernah dong …di lorong rumah sakit 🥺
61,0.404,Netral,@seonghyoern WHATT RUMAH SAKIT PUNN??? aish bentar ya abang. . dd mau aktifkan mode cenayangnya dd dulu 😟
62,0.4024,Netral,"9 Rumah Sakit di Kota Singkawang Lengkap dengan Alamat, Fasilitas dan Tipe RS

Baca: https://t.co/z8aje4euXf"
63,0.4016,Netral,"Ini adalah layanan Rumah Sakit Puri Nirmala, Pakualaman, Jogja.
Maksudnya layanan sosiologi itu apa ya? Ada yg bisa jelaskan? https://t.co/wpqsMYqPpi"
64,0.4014,Netral,"*Lokasi Istimewa, Dekat*
- Kampus UIN, Universitas Muhammadiyah Ahmad Dahlan, Sekolah Internasional Multi Culture 
- Situ Gintung 
- Rumah Sakit UIN &amp; RS Hermina 
- Akses Toll
- Mall Ciputat 

 *Direct Owner* (JK488)"
65,0.4011,Netral,"@epicmnw Nenek gw pas mau dibawa ke RS bilang “udah gausah dibawa ke rumah sakit, saya mau “rame-rame” nya dirumah aja” cuma bapak gw mikir drpd nyesel seumur idup ga dibawa ke RS jadi dipaksa bawa ke RS, eh bnrn meninggal. Sebelum meninggal sempet ngasih"
66,0.4001,Netral,"ᅠ

Oemji!! Kakak-kakak cantikku, timaaci. Bismillah habis ini dibangunin 𝘳𝘶𝘮𝘢𝘩 𝘴𝘢𝘬𝘪𝘵.

ᅠ"
67,0.4,Netral,"@karencahayaasia Awokwokwok...😭😭

Kalau nemu bangsal rumah sakit infoin ya, ren 😔"
