Rank,Similarity,Sentiment,Comment
11,0.4035,Positif,Kegiatan webinar berlangsung secara interaktif dengan antusiasme peserta yang aktif mengikuti sesi diskusi dan tanya jawab. Partisipasi RSPON Mahar Mardjono Jakarta dalam kegiatan ini menjadi bagian dari komitmen rumah sakit dalam mendukung peningkatan literasi dan edukasi
12,0.4035,Netral,@2mymyx Salam. Terkait jadwal kontrol silakan dapat konfirmasi dengan Administrasi Rumah Sakit ya Sahabat. Jika kendala silakan koordinasi dengan petugas BPJS Satu (BPJS Siap Membantu) di Rumah Sakit terkait. Terima kasih. :) -sari
13,0.4022,Netral,"7. Ini mirip:
dengar nada notifikasi → refleks cek HP
dengar lagu lama → nostalgia
cium aroma rumah sakit → cemas
Otak manusia adalah mesin pembuat asosiasi."
14,0.398,Netral,*BABINSA KARANGASEM MONITORING GIAT SURVEI SIMULASI RS UMS A.R FACHRUDIN OLEH LEMBAGA AKREDITASI RUMAH SAKIT INDONESIA (LARSI)* https://t.co/NPPTe45rLY
15,0.3973,Netral,"@cherrybomn Salam Sehat Sahabat. Mohon maaf atas ketidaknyamanannya. Apabila terkendala pendaftaran antrean melalui aplikasi Mobile JKN. Silakan dapat melakukan pendaftaran antrean secara manual melalui Fasilitas Kesehatan/Rumah Sakit tujuan, ya Sahabat. "
16,0.3917,Netral,"@yourrmajesty_ Salam. Mohon maaf Sahabat, saat ini belum terdapat informasi resmi kendala Aplikasi Mobile JKN, jika terdapat kendala pendaftaran pelayanan antrean online silakan dapat konfirmasi ke petugas administrasi Rumah Sakit dengan menunjukkan bukti"
17,0.3887,Positif,"Program Rujuk Balik (PRB) BPJS Kesehatan kini hadir lebih mudah dan nyaman  💙
Melalui layanan PRB, peserta BPJS Kesehatan dengan penyakit kronis yang kondisinya sudah stabil dapat memperoleh pelayanan kesehatan dan obat secara rutin tanpa harus kembali ke rumah sakit . https://t.co/9TF70iGLqr"
18,0.3865,Netral,"@rasaleci Salam Sehat Sahabat. Pelayanan dan tindakan kesehatan dapat dijamin BPJS Kesehatan sesuai indikasi medis. Silakan dapat pemeriksaan awal ke Faskes pertama terdaftar, jika membutuhkan tindakan khusus akan dirujuk ke Rumah Sakit. Terima kasih. :) "
19,0.3842,Netral,@sheilaarva Salam Sehat. Mohon maaf Sahabat. Saat ini terdapat maintenance pada Aplikasi Mobile JKN. Berkenan dapat akses kembali secara berkala atau jika masih terkendala dapat pendaftaran secara manual ke Rumah Sakit dengan menunjukkan bukti kendala. Te
20,0.384,Netral,Serasa wisata rumah sakit. RS Hermina Podomoro - RS Hermina Kemayoran - RS Islam. Seribet itu peserta bpjs 🥹
21,0.3795,Netral,@prasprasetja Kak numpang nanya klo runtutan konsul dan asesmen ADHD selengkap ini boleh tau ngga di rumah sakit mana? Aku dom jkt berencana periksa tp bingung mau kemana. Ga bpjs friendly jg gapapa!
22,0.3782,Netral,"Tingkatkan Layanan Kesehatan, Pemkab Deiyai Fokus Perkuat SDM dan Akreditasi Puskesmas 

Baca selengkapnya di https://t.co/qIwyAKdk1O
https://t.co/UONhGqtE6R

#Deiyai #PapuaTengah #Kesehatan #Puskesmas #TenagaKesehatan #PelayananPublik #SDMKesehatan #NabireNet"
23,0.373,Netral,"Kegiatan Wasrik Itwasda di RS Bhayangkara Surabaya menjadi bagian dari upaya pengawasan dan evaluasi guna meningkatkan kualitas pelayanan, transparansi, serta akuntabilitas kinerja di lingkungan rumah sakit. https://t.co/t1xpbPaHac"
24,0.3716,Netral,"Di rumah sakit ,bonus dedek 
https://
https://t.co/ixJZfwuW7r
https://t.co/z0MMvzZSBd https://t.co/KBeGXsv5qP"
25,0.368,Netral,"@PS02674 Apabila nomor surat kontrol peserta belum tertera pada aplikasi Mobile JKN, maka silakan melapor ke administrasi Rumah Sakit untuk dapat diinputkan nomor surat kontrol atau melakukan pendaftaran secara manual di Rumah Sakit tujuan ya Sahabat. Ter"
26,0.3663,Netral,"@munhaaaa14 Salam. Pelayanan dan tindakan kesehatan dapat dijamin sesuai indikasi medis dan instruksi dari Dokter terkait. Jika terdapat ketidaksesuaian, mohon berkenan koordinasi dengan BPJS SATU (Siap Membantu) /petugas PIPP di Rumah Sakit terkait. Teri"
27,0.366,Positif,"@TLD_Survive bisa, Kutil kelamin masih bisa di cover bpjs, meski sudah ada wacana untuk beberapa penyakit termasuk kulit yg tidak akan di cover BPJS lagi ( untuk rumah sakit ) jadi disarankan di puskesmas, tapi saat ini masih bisa di cover untuk di rs mel"
28,0.3545,Netral,"Hallo #SobATRBPN Halbar 👋
Jailolo – Giat konsultasi dokter pascamedical check up bagi pegawai Kantah Kab. Halmahera Barat telah dilaksanakan dengan lancar. 

Berita selengkapnya di https://t.co/TvV97B0yqo

#MCU2026
#medicalcheckup2026
#atrbpnkinilebihbaik
#atrbpnmajudanmodern https://t.co/3YvHdaKdHt"
29,0.3531,Netral,"✨Tabe' Sobwas Meohai✨

Tim BPKP melaksanakan Evaluasi atas Revitalisasi Integrasi Layanan Primer (ILP) Kabupaten Konawe Tahun 2026 dalam rangka mendukung penguatan tata kelola layanan kesehatan primer yang terintegrasi, efektif, dan berkesinambungan. https://t.co/2GqNe0n2Nj"
30,0.3526,Positif,"Komitmen menuju pelayanan kesehatan yang lebih berkualitas 💪🏥

RSUPJ melaksanakan rapat persiapan re-akreditasi rumah sakit demi pelayanan PRIMA dan keselamatan pasien.

-HumasRSUPJ- https://t.co/mA3Usha8Ju"
31,0.351,Positif,"Perkuat Layanan Kesehatan, Lapas Banyuwangi dan Puskesmas Mojopanggung Laksanakan Skrining VCT https://t.co/onM7tAznQ8"
32,0.3502,Positif,"Rumah Sakit Marina Permata bekerja sama dengan Jhonlin Group mengadakan kegiatan khitan massal gratis bagi masyarakat di Kabupaten Tanah Bumbu. Program sosial tersebut menjadi bagian dari rangkaian perayaan hari ulang tahun ke-10 Rumah Sakit Marina Permata.
 
Kegiatan yang https://t.co/J7yBAscxcZ"
