Rank,Similarity,Sentiment,Comment
13,0.4936,Netral,@dimasisme007 @idextratime @AbrahamPRomero Yamal lagi ngantri BPJS di rumah sakit
14,0.4857,Positif,"@drnewstwit Beberapa kali pakai BPJS di puskesmas dan rumah sakit, memang tidak bayar, dan kadang pelayanan agak bikin ""greget"". 
Tapi selalu kasih bintang 4 dan 5, karena apa pun yg terjadi mereka telah membantu."
15,0.4848,Positif,"Kini, layanan kesehatan makin dekat dan mudah diakses.

Hadirnya layanan BPJS Kesehatan di RSUD Benda menjadi langkah nyata Pemkot Tangerang dalam memperluas akses kesehatan bagi masyarakat, agar berobat lebih mudah, nyaman, dan tanpa terkendala akses layanan. https://t.co/mvPngy9NYp"
16,0.4809,Netral,"@NAZIO_ALBERATSA @tanyarlfes Gini bro, rumah sakit tdk boleh nolak pasien dlm kondisi darurat spt kena DBD itu. BPJSnya diurus sambil ybs dirawat.."
17,0.4782,Netral,Izin kami di Rumah sakit hanya memberikan pelayanan.. Ayo sama sama taat aturan layanan BPJS.. https://t.co/siYviLLeqG
18,0.4736,Netral,"Kali ini, studi banding membahas sistem pembagian jasa pelayanan yang diterapkan di RSUD Dr. Moewardi sebagai upaya penguatan tata kelola dan peningkatan mutu pelayanan rumah sakit."
19,0.4732,Netral,"Dalam pelaksanaan evaluasi ini, dibahas sejumlah isu strategis terkait implementasi ILP, antara lain kesiapan pelayanan kesehatan primer berbasis siklus hidup, penguatan peran Puskesmas sebagai koordinator jejaring layanan kesehatan,"
20,0.4721,Netral,@2mymyx Salam. Terkait jadwal kontrol silakan dapat konfirmasi dengan Administrasi Rumah Sakit ya Sahabat. Jika kendala silakan koordinasi dengan petugas BPJS Satu (BPJS Siap Membantu) di Rumah Sakit terkait. Terima kasih. :) -sari
21,0.4711,Netral,"proses berjalan sesuai standar operasional prosedur. Selain itu, peninjauan juga dilakukan terhadap fasilitas pendukung seperti klinik kesehatan dan dapur, sebagai bagian dari pemenuhan kebutuhan dasar warga binaan.

Usai kegiatan monev, Kakanwil melanjutkan agenda dengan"
22,0.4709,Negatif,"PEMERINTAH: Oh no BPJS Defisit, mari buat aturan biar penggunaan BPJS turun
Also pemerintah: Layanan Kesehatan yang diberikan ke karyawan kita pajaki ya 🥰

Akhirnya pada lari ke bpjs yang tadinya pada gak make sama sekali (padahal bayar terus tiap bulan)"
23,0.4693,Netral,"@Naandaa27 Kan MBG program yang mudah ditilap dananya untuk saku pribadi, makanya pelaksana mati-matian agar program ini terus berjalan. Beda ma layanan kesehatan, di mana ada pengawasan larinya dana tersebut."
24,0.4673,Netral,"@munhaaaa14 Salam Sehat Sahabat. Jika sudah mengikuti prosedur dan mendapat rujukan dari Faskes Tingkat I, maka dijamin oleh BPJS Kesehatan. Jika terdapat ketidaksesuaian, mohon berkenan koordinasi dengan BPJS SATU (Siap Membantu) /petugas PIPP di Rumah S"
25,0.4652,Netral,"Layanan kesehatan prima butuh manajemen yang adaptif.  Kemenkum Jabar bantu wujudkannya melalui penyelarasan aspek yuridis rencana bisnis anggaran BLUD RSUD Bekasi yang lebih fleksibel.

Kemenkum Jabar - Asep Sutandar."
26,0.465,Negatif,"@SINDOnews Asal dokter tahu aja niih.... 
pasien BPJS di Faskes 1 maupun Rujukan (rumah sakit), selalu dapat layanan yg terakhir, walaupun dapat antrian awal

Urutan prioritas pasien :
1. Bayar Tunai
2. Asuransi Kesehatan Swasta 
3. BPJS"
27,0.4639,Netral,"Rumah sakit swasta yg sama. Tapi yg satu pakai pribadi, satu lagi pakai bpjs. Pelayanannya, bueda jauh wkwk"
28,0.4618,Positif,"@TLD_Survive bisa, Kutil kelamin masih bisa di cover bpjs, meski sudah ada wacana untuk beberapa penyakit termasuk kulit yg tidak akan di cover BPJS lagi ( untuk rumah sakit ) jadi disarankan di puskesmas, tapi saat ini masih bisa di cover untuk di rs mel"
29,0.4611,Negatif,"Pelayanan salah satu Rumah Sakit Gigi dan Mulut di Cimahi kayak gini? Mentang mentang pasien BPJS seenaknya ubah ubah jadwal, emang pasien BPJS tuh selalu disepelekan gini ya? Padahal kita juga sama sama bayar @BPJSKesehatanRI @KemenkesRI https://t.co/H9OkyjgAHZ"
30,0.4595,Netral,"Bupati Badung I Wayan Adi Arnawa bersama DPRD Badung meninjau kesiapan operasional RSUD Giri Asih di Blahkiuh untuk memastikan sarana, prasarana, dan layanan kesehatan siap bagi masyarakat.
#BupatiBadung #RSUDGiriAsih #LayananKesehatan
https://t.co/5AJ0EPBgLl"
31,0.4592,Netral,"1. Psikolog Klinis anak juga ada sumpah profesi
2. Beberapa rumah sakit juga bisa pakai BPJS untuk cover terapi kalau anak ada masalah perkembangan tapi hanya sampai 7 tahun
3. Psikolog anak dan dr. spesialis anak punya ranah kerja yang berbeda tapi ilmunya tetap berkolaborasi https://t.co/HBuDTVA6fY"
32,0.4552,Netral,"Bagaimana mewujudkan manajemen rumah sakit daerah yang mandiri  dan legal? Kemenkum Jabar berikan solusi lewat penyelarasan aturan teknis keuangan BLUD RSUD Bekasi yang komprehensif.

Kemenkum Jabar - Asep Sutandar."
33,0.4542,Negatif,"Rumah Sakit aneh

Pasien BPJS koq layanannya seistimewa umum/mandiri"
34,0.4541,Positif,"@chordetendineae Sebagai duku yang kerja sebagai verifikator BPJS di internal rumah sakit, saya bosamengatakan yang benar mas chordtendinae

kalau asal biaya berapapun di claim, enak banget wkwkkw"
35,0.4506,Netral,"Utamakan Pelayanan Prima, Rutan Boyolali Fasilitasi Kontrol Kesehatan WBP ke Rumah Sakit dengan Pengawalan Ketat https://t.co/UChYRNF9M6"
36,0.4469,Netral,Jends! Yang bpjsnya uda ga aktif kalo mo berobat ke klinik soedirman tu bayarnya lewat mana? Ato harus aktifin dulu? Sender baru 21+ jadi ga dibayarin dari gaji ortu lagi (pns)
37,0.4463,Netral,"Wkwkwk makanya tai banget pas aku kerja sampe masuk rumah sakit
Masih harus kerja di RS posisi pake infus karena kalau ga di support itu aplikasi bisa ga improve bahkan sampe ke titik bisnis proses ga jalan
Asu lah"
38,0.4462,Negatif,"Kirain rumah sakit gede pelayanannya okee, ternyata sama ajaa. Padahal mandiri bukan pake bpjs. https://t.co/BKGhOXf5aJ"
39,0.4448,Positif,"Pemprov Sumut akan Bangun Rumah Sakit Bertaraf Internasional, Gubsu Bobby: Tetap Layani Pasien BPJS

https://t.co/uxtsLW2xWK"
40,0.4438,Netral,"@Abitampan123 Salam. Pelayanan dan tindakan kesehatan tersebut dapat dijamin BPJS Kesehatan sesuai indikasi medis. Silakan pemeriksaan ke faskes tingkat 1 terdaftar, jika FKTP tidak dapat menangani, akan diberikan rujukan ke rumah sakit sesuai indikasi me"
41,0.4425,Netral,"@Indriles3 Salam. Mohon maaf atas ketidaknyamanannya. Sistem kami sedang dalam peningkatan mutu layanan atau optimalisasi sistem. Jika tetap terkendala, silakan dapat melakukan pendaftaran antrean secara manual ke FKTP terdaftar atau Rumah Sakit rujukan. "
42,0.4424,Netral,"🏥📊 Transformasi Rumah Sakit di Era Regulasi Baru

Halo Sobat PERSI..!! 
Temukan berbagai perspektif strategis melalui rangkaian diskusi pleno, paripurna, dan leadership session yang membahas regulasi, pembiayaan, hingga mutu layanan secara komprehensif 📑 https://t.co/T9MXg0V8tJ"
43,0.4423,Netral,"Klinik Kesehatan Haji Indonesia (KKHI) memberikan pendampingan khusus bagi jemaah haji Indonesia yang memiliki kondisi kesehatan berisiko tinggi. Salah satu layanan yang diberikan adalah fasilitasi pelaksanaan niat ihram Isytirath di Miqat.

Langkah ini dilakukan sebagai solusi https://t.co/CnSWVtq8rB"
44,0.4407,Positif,"Masih kontrol rutin tapi kondisi sudah stabil?
Yuk manfaatkan Program Rujuk Balik dari BPJS Kesehatan 🥳

Obat tetap bisa diambil rutin di Faskes Tingkat Pertama tanpa harus bolak-balik ke rumah sakit.
Lebih dekat👨‍⚕️

#RSUDCepu #RujukBalik #BPJSKesehatan #LayananKesehatan #Blora https://t.co/c7kKDrPPGL"
45,0.4356,Netral,"Kemenkum Jabar selesaikan telaah hukum komprehensif atas aturan pengelolaan dana BLUD RSUD Bekasi. Kami pastikan prinsip efektivitas mendominasi operasional rumah sakit daerah tersebut.

Kemenkum Jabar - Asep Sutandar."
46,0.4321,Netral,"Bagaimana mewujudkan manajemen rumah sakit daerah yang mandiri? Kemenkum Jabar berikan solusi yuridis lewat harmonisasi pedoman bisnis  anggaran BLUD Bekasi.

Kemenkum Jabar - Asep Sutandar."
47,0.4315,Netral,"Ada satu hal yang selalu jadi pegangan saya: kalau bisa membantu orang, kenapa tidak? Itulah yang saya lakukan tadi sore—membantu seorang warga yang ingin menambahkan anaknya ke dalam daftar peserta BPJS Kesehatan melalui aplikasi JKN Mobile. Status BPJS anak tersebut sudah"
48,0.4291,Negatif,@saurcin jink.........administrasi rumah sakit pun bengong dan langsung ngasih bpjs kelas 1
49,0.425,Netral,"Tingkatkan Layanan Kesehatan, Pemkab Deiyai Fokus Perkuat SDM dan Akreditasi Puskesmas 

Baca selengkapnya di https://t.co/qIwyAKdk1O
https://t.co/UONhGqtE6R

#Deiyai #PapuaTengah #Kesehatan #Puskesmas #TenagaKesehatan #PelayananPublik #SDMKesehatan #NabireNet"
50,0.4244,Netral,"Kegiatan Wasrik Itwasda di RS Bhayangkara Surabaya menjadi bagian dari upaya pengawasan dan evaluasi guna meningkatkan kualitas pelayanan, transparansi, serta akuntabilitas kinerja di lingkungan rumah sakit. https://t.co/t1xpbPaHac"
51,0.4242,Netral,"[PPID RSUD dr. SOESELO]

Struktur Organisasi RSUD dr. Soeselo Kabupaten Tegal berdasarkan Peraturan Bupati Tegal Nomor 29 Tahun 2025 tentang Kedudukan, Susunan Organisasi, Tugas dan Fungsi, Serta Tata Kerja Rumah Sakit Umum Daerah.

Selengkapnya:
🔗https://t.co/xafmrVcj33 https://t.co/5hSrS0bEns"
52,0.4239,Netral,"Pengelolaan tata kelola keuangan rumah sakit  yang mandiri diakselerasi oleh Kemenkum Jabar. Kami pastikan draf aturan pengelolaan dana BLUD RSUD Bekasi diselaraskan sesuai aturan nasional.

Kemenkum Jabar - Asep Sutandar."
53,0.4236,Netral,"Kemenkum Jabar pastikan pengelolaan dana kesehatan di Bekasi diatur secara akuntabel. Harmonisasi aturan bisnis BLUD dilakukan  demi kelancaran operasional rumah sakit.

Kemenkum Jabar - Asep Sutandar."
54,0.4229,Netral,Kegiatan ini merupakan langkah strategis untuk memastikan tata kelola kearsipan di lingkungan rumah sakit berjalan sesuai dengan regulasi dan prinsip good governance. https://t.co/nT8vCaiDbv
55,0.4224,Netral,"Bagaimana mengelola piutang rumah sakit daerah secara transparan? Kemenkum Jabar formulasikan aturan penghapusan piutang BLUD RSUD Bekasi agar pembukuan keuangan  daerah bersih dari beban tak tertagih.

Kemenkum Jabar - Asep Sutandar."
56,0.4209,Netral,"Pengelolaan bisnis rumah sakit milik daerah wajib akuntabel. Kemenkum Jabar bantu formulasikan regulasi BLUD Bekasi yang seimbangkan fleksibilitas usaha dengan ketatnya pengawasan keuangan negara.

Kemenkum Jabar -  Asep Sutandar."
57,0.4185,Netral,@sheilaarva Salam Sehat. Mohon maaf Sahabat. Saat ini terdapat maintenance pada Aplikasi Mobile JKN. Berkenan dapat akses kembali secara berkala atau jika masih terkendala dapat pendaftaran secara manual ke Rumah Sakit dengan menunjukkan bukti kendala. Te
58,0.4175,Netral,"Di bawah pengawasan Kadiv P3H Ferry  Gunawan, perancang peraturan Kemenkum Jabar sukses urai benang kusut birokrasi dalam draf aturan tata kelola bisnis rumah sakit daerah Bekasi.

Kemenkum Jabar - Asep Sutandar."
59,0.4168,Netral,"Setelah jadi mandiri, pelanggan wajib membayar iuran tiap bulan sendiri, layanan kesehatan tetap aktif jika tidak menunggak Berikut Cara Merubah BPJS dari Perusahaan ke Mandiri https://t.co/cQIuiOOrF1"
60,0.4153,Netral,"@munhaaaa14 Salam. Pelayanan dan tindakan kesehatan dapat dijamin sesuai indikasi medis dan instruksi dari Dokter terkait. Jika terdapat ketidaksesuaian, mohon berkenan koordinasi dengan BPJS SATU (Siap Membantu) /petugas PIPP di Rumah Sakit terkait. Teri"
61,0.4147,Netral,"Masyarakat, Peserta BPJS Kes, Tenaga Medis &amp; Kesehatan, Fasilitas Kesehatan, semua harus protes

Naikkan tarif pembayaran dari BPJS ke Fasilitas Kesehatan, supaya layanan kesehatan &amp; kesejahteraan named nakes bisa membaik

Uang nya ada,
Tapi ga dikasih ke kesehatan,
Malah ke ...."
62,0.4145,Netral,"Efisiensi dan produktivitas pelayanan jadi roh utama dalam pedoman keuangan BLUD RSUD Bekasi. Kemenkum Jabar kawal harmonisasinya agar orientasi sosial rumah sakit tetap berada di atas keuntungan modal.

Kemenkum  Jabar - Asep Sutandar."
63,0.4143,Netral,Serasa wisata rumah sakit. RS Hermina Podomoro - RS Hermina Kemayoran - RS Islam. Seribet itu peserta bpjs 🥹
64,0.4138,Netral,"Bogor, 05 Mei 2026 – PT TASPEN (Persero) Kantor Cabang Bogor melaksanakan koordinasi bersama RSUD Cibinong sebagai upaya peningkatan kualitas pelayanan kepada peserta, khususnya dalam layanan kesehatan.

#TASPENBogor
#TASPENAndalMelayani
#TASPENAndalPensiunAman https://t.co/lWRGrIVUgf"
65,0.4122,Netral,"@diamkamuuu_ BPJs wajib sih
Secara jg tidak mahal banget
Klo tiba2 sakit, sangat ngebantu sekali, apalagi biaya rumah sakit itu bisa capai puluhan juta"
66,0.412,Positif,Kesinambungan pelayanan penting untuk menjaga kualitas layanan kesehatan daerah. #KementerianHukum #KanwilKemenkumSulteng #KemenkumSultengNAMBASO #LayananHukumMakinMudah #KitaMulaiCaraBaru
67,0.412,Positif,"@LanangDemak Penjaminan pelayanan kesehatan di FKTP / Rumah Sakit bagi peserta JKN-KIS sama untuk semua jenis kepesertaan yaitu secara paket telah mencakup jasa medis, tindakan penunjang medis dan obat-obatan yang telah diatur oleh Pemerintah (Kementerian"
68,0.4116,Positif,"Bhabinkamtibmas Desa Bajera Kawal Posyandu 6, Standar Pelayanan Minimal (SPM), Pastikan Layanan Kesehatan Dasar Berjalan Aman. Selasa (19/5/2026) pagi

@kapoldabaliofficial
@poldabali
@polrestabanan__
@divisihumaspolri
@polripresisi
@polisi_indonesia.
@polsekselemadeg https://t.co/VZweq6TltS"
69,0.4101,Negatif,yuyur bosan kontrol ke rumah sakit wkwkwkwwkkw
70,0.4098,Positif,Pengelolaan fasilitas yang baik mendukung peningkatan kualitas layanan kesehatan. #KementerianHukum #KanwilKemenkumSulteng #KemenkumSultengNAMBASO #LayananHukumMakinMudah #KitaMulaiCaraBaru
71,0.4071,Netral,"Kemenkum Jabar pastikan pengelolaan dana kesehatan di Bekasi dikawal undang-undang.  Harmonisasi aturan bisnis BLUD dilakukan demi meningkatkan mutu sarana prasarana rumah sakit daerah.

Kemenkum Jabar - Asep Sutandar."
72,0.406,Netral,"Rumah Sakit Umum Daerah (RSUD) Teuku Umar Calang resmi mengimplementasikan layanan Jaminan Kesehatan Aceh (JKA) berbasis Data Tunggal Sosial Ekonomi Nasional (DTSEN) sejak 1 Mei 2026.
 #Aceh 

https://t.co/mSUhCi0NTZ"
73,0.4042,Positif,Regulasi yang harmonis mendukung penguatan sistem evaluasi layanan kesehatan. #KementerianHukum #KanwilKemenkumSulteng #KemenkumSultengNAMBASO #LayananHukumMakinMudah #KitaMulaiCaraBaru
74,0.4031,Netral,"Rapat konsultasi Kemenkum Jabar sukses kaji aturan keuangan rumah sakit Bekasi. Kami tekankan akuntabilitas tinggi agar pengelolaan dana operasional  kesehatan selalu berjalan di atas rel hukum baku.

Kemenkum Jabar - Asep Sutandar."
75,0.4027,Netral,"Manajemen rumah sakit yang lincah butuh kawalan hukum yang andal. Kemenkum Jabar tuntaskan penyelarasan pedoman teknis keuangan BLUD RSUD Kabupaten Bekasi kemarin.

Kemenkum Jabar - Asep Sutandar."
76,0.4017,Positif,"Perkuat Layanan Kesehatan, Lapas Banyuwangi dan Puskesmas Mojopanggung Laksanakan Skrining VCT https://t.co/onM7tAznQ8"
