Rank,Similarity,Sentiment,Comment
43,0.3406,Netral,"Lagi lagi LULUSAN ITB &amp; lembaga @lpdp_ri  BERULAH!! 
GA KAPOK KAPOK 

NURAFNI NUGROHO PUTRI !!
Lulusan s1 teknik sipil ITB saat ini program s2 LPDP di UI(teknik sipil)

ASN KEMENTRIAN PU
DIREKTORAT JENDRAL BINAMARG (jalan &amp; jembatan)

Lulus CPNS  circa 2018/2019, 
dikenal anak yg https://t.co/1ShDiXygYo"
44,0.3399,Netral,@mcflurryoneepls Yg di cafe apa rumah sakit kak?
45,0.338,Netral,@unecessaryevill Malah kayak nama bangsal rumah sakit.
46,0.3379,Netral,"dan funfact aku pertama kali baca abimaikal dalam keadaan terbaring di ranjang rumah sakit wkwkwkwk

widayat (wdyt) wur @kageyamouw 

https://t.co/lk8E8kve9a"
47,0.3359,Negatif,@massdowman kantin rumah sakit hehe https://t.co/cz6ByBa59S
48,0.3357,Netral,"@KulineRain Besok pagi pa,mau nonton rokum sakaw alias rumah sakit  ."
49,0.3344,Netral,kangen rumah sakit as a worker🥺🫰KANGEN DINASSSSS
50,0.3333,Netral,"[PPID RSUD dr. SOESELO]

Struktur Organisasi RSUD dr. Soeselo Kabupaten Tegal berdasarkan Peraturan Bupati Tegal Nomor 29 Tahun 2025 tentang Kedudukan, Susunan Organisasi, Tugas dan Fungsi, Serta Tata Kerja Rumah Sakit Umum Daerah.

Selengkapnya:
🔗https://t.co/xafmrVcj33 https://t.co/5hSrS0bEns"
51,0.3321,Netral,sore aku ke rumah sakit djwhdiwkdw gws gws gws
52,0.332,Netral,"@adipurwa74 @AhlulQohwah @damaihatikami Angkringan kopi giras cidek Rumah sakit,
nek isuk jajan pentol ndek pom bensin Mojowarno arah Bareng."
53,0.3311,Netral,"Ibrahim Tower RS Roemani baru diresmikan oleh Ketum PP Muhammadiyah Prof @HaedarNs  20/06/2026.
Tahukah Anda jika lahan yang kini berdiri megah rumah sakit ini adalah wakaf tokoh NU asal Demak, yaitu dr. H. Roemani. https://t.co/GUPx1LoSxz"
54,0.3307,Positif,"@chordetendineae Sebagai duku yang kerja sebagai verifikator BPJS di internal rumah sakit, saya bosamengatakan yang benar mas chordtendinae

kalau asal biaya berapapun di claim, enak banget wkwkkw"
55,0.3298,Netral,Kuliah di temenin zoro di RUMAH SAKIT aww aww https://t.co/7pigt8i8pG
56,0.3298,Netral,"@dungkiecute RUMAH SAKIT MANA YG NAMPUNG DJS

JOONGDUNK RACING CHAMPION
#LOLFanFest2026D1"
57,0.3296,Netral,"🧠Berita RSPON - Rumah Sakit Pusat Otak Nasional (RSPON) Prof. Dr. dr. Mahar Mardjono Jakarta (RSPON Mahar Mardjono Jakarta) turut berpartisipasi dalam kegiatan Webinar Selasehat #2 yang diselenggarakan oleh Dinas Kesehatan Provinsi DKI Jakarta pada Selasa, 12 Mei 2026 dengan https://t.co/X0VoXFqPnx"
58,0.3294,Netral,@xiayinnn Atp harus bikin meme rumah sakit Yan…
59,0.3289,Netral,Punteun caket rumah sakit mah wededed na rada dikalemkeun rada di tahan egona
60,0.3275,Netral,"JOONGDUNK RACING CHAMPION #LOLFanFest2026D1

Rumah sakit gue kebanjiran pasien…TOLONGGGGGGG https://t.co/7Tw3YIFboQ"
61,0.3274,Netral,"RUMAH SAKIT MANA YG NAMPUNG DJS, TAMPUNG GUE PLIS GUE GAKUATTTT/// (*´∇｀)ﾉ

JOONGDUNK RACING CHAMPION
#LOLFanFest2026D1 https://t.co/oubS6FBEaG"
62,0.3272,Positif,"Pemprov Sumut akan Bangun Rumah Sakit Bertaraf Internasional, Gubsu Bobby: Tetap Layani Pasien BPJS

https://t.co/uxtsLW2xWK"
63,0.3247,Positif,@Jeayunf Bismillahirrahmanirrahim semoga masih selamat sampai rumah sakit..
64,0.3219,Negatif,Dasar tim rumah sakit
65,0.321,Netral,wkwkwk couplean baju rumah sakit
66,0.3207,Netral,Administrasi rumah sakit / kasir
67,0.3206,Positif,@empty__core rumah sakit bintang 5 wkwk
68,0.3197,Netral,@RacunCintaaMu Suka ada ceritanya yaa di rumah sakit tuh
69,0.3191,Netral,"@narellyta Lagu-lagunya perunggu, the panturas &amp; rumah sakit!"
70,0.3188,Netral,@yukithecharcoal Itu stempel rumah sakit mana? Tel aviv?
71,0.3186,Netral,"@notexale gapapa masuk rumah sakit terus asal joongdunk ciuman lagi besok dan besok plsss......

JOONGDUNK RACING CHAMPION #LOLFanFest2026D1"
72,0.3179,Netral,"Terjebak di rumah sakit yang di penuhi dokter mesum
NGOD-336
Yui Hatano
Link di komen https://t.co/BGlG1eFUgS"
73,0.3175,Netral,"Bupati Badung I Wayan Adi Arnawa bersama DPRD Badung meninjau kesiapan operasional RSUD Giri Asih di Blahkiuh untuk memastikan sarana, prasarana, dan layanan kesehatan siap bagi masyarakat.
#BupatiBadung #RSUDGiriAsih #LayananKesehatan
https://t.co/5AJ0EPBgLl"
74,0.3173,Netral,@breadunderscore Rumah sakit angkatan laut dr. ramelan surabaya
75,0.317,Netral,@seonghyoern WHATT RUMAH SAKIT PUNN??? aish bentar ya abang. . dd mau aktifkan mode cenayangnya dd dulu 😟
76,0.3169,Netral,Harii hariii rumah sakit 🥲
77,0.3153,Netral,"@Lvirays Enggak, ade rai cuma instruktur kesehatan dia sama gym doang dari gendut sampe kurus, terus operasinya kan beberapa kali, operasi pertama disponsorin pihak rumah sakit, operasi selanjutnya oake bpjs"
78,0.3152,Netral,"Ni negara mau ancur, rumah sakit ini juga mau ancur keknya"
79,0.3152,Negatif,template rumah sakit bgt jawaban gue https://t.co/c7LmrAPbYW
80,0.3139,Netral,BLUD menjadi instrumen penting layanan kesehatan. #KementerianHukum #KanwilKemenkumSulteng #KemenkumSultengNAMBASO #LayananHukumMakinMudah #KitaMulaiCaraBaru KANWIL KEMENKUM SULTENG
81,0.3137,Netral,"@pemuda_sange4an di rumah sakit, auto sembuh, ngentotin doi adalah obat wkwkwk"
82,0.3125,Netral,"@MrKillSeries @cosmiicblu @dew_jsu @vitheepanich KITUU ATUH TI KAMARI, NGAJIEUN URANG NAGREOG IEU DI RUMAH SAKIT DI CAREKAN"
83,0.3122,Netral,"@akwak5s @milesrmcf_ @ketuartwano @Orin_no_mizu @rysblncs Wkwkwk, udah rusak itu dia bang kek layanan kesehatan sanitas ke pemain Mirdad 😹"
84,0.3111,Netral,@StrawberryTGR itu buat di rumah sakit kg
85,0.3101,Netral,"rumah sakit mana lagi yg mau nerima djs pingsan grgra joongdunk ciuman pas lol?

JOONGDUNK RACING CHAMPION
#LOLFanFest2026D1 https://t.co/eXlK2Rbp28"
86,0.3097,Netral,Kegiatan Pemeriksaan mata dan konsultasi dokter gratis dari RS mata SMEC Pekanbaru di kec. Tanah Putih Tanjung Melawan https://t.co/mHUGtVer6P
87,0.3089,Netral,"@shaangen Ngga bisa, Dede.. 🥺 Dede kan lahiran di Rumah Sakit Capcut Pro Advanced Features 🥺"
88,0.3086,Netral,"Bjirr Tercduuk Pas Iagi Omeecc
https://t.co/bhjsrUJ7ui
Perawat Jilbab Rumah Sakit Eksb Didepan Pasien
https://t.co/zhQImPCnjm
Koleksi Janda Muda Jlbab Cantik Mki Sempit
https://t.co/W9FRPhNd0x
Sayang Plis Jangan Ada Mamah
https://t.co/QNWpr22Cll"
89,0.3075,Netral,"APA APAN ANJIR MAIN NYA CUTE CUTE AN PARAH BANGET TOLONG INI ADA GA YA RUMAH SAKIT KHUSUS NETJJ EPS 9 😭😭😭

LOVE UPON A TIME EP9
#ภพเธอEP9"
90,0.3066,Netral,@RAGNARAE Gak eskpek seberat itu... Itu rumah sakit yang dia kunjungi RSJ?
91,0.3056,Netral,"Hallo #SobATRBPN Halbar 👋
Jailolo – Giat konsultasi dokter pascamedical check up bagi pegawai Kantah Kab. Halmahera Barat telah dilaksanakan dengan lancar. 

Berita selengkapnya di https://t.co/TvV97B0yqo

#MCU2026
#medicalcheckup2026
#atrbpnkinilebihbaik
#atrbpnmajudanmodern https://t.co/3YvHdaKdHt"
92,0.3055,Netral,@elmonstery @simpingskypen MASUK RUMAH SAKIT IYA
93,0.3055,Netral,@callmeyujiiii @KeylalaAja Biasa gadun rumah sakit
94,0.3053,Netral,@SurviveDEW Sudah keluar rumah sakit kok dd! Amannn. Ngejar mau keliling duniaa. 😻
95,0.3052,Netral,"@sasakiuako HEY DD NO NO, itu timun plis cendol darimana yatuhan.... ke rumah sakit yuk abang temenin cek mata siapa tau dd minus"
96,0.3044,Netral,@RstmBcl Kalau rumah sakit PKU Muhammadiyah khusus penunggu gratis ada id khusus
97,0.3043,Netral,"Hai Dulursehat!👋

Telah dilaksanakan kegiatan monitoring dan evaluasi pelaksanaan imunisasi Campak Rubella (MR) di rumah sakit oleh Tim Kerja surveilans imunisasi Dinas Kesehatan Kab. Tegal pada Senin (4/5). Sebanyak 2500 orang yang terdiri dari tenaga kesehatan, tenaga medis, https://t.co/k0xwtODHm5"
98,0.304,Netral,@ugliestbitchy Itu rumah sakit anjai
99,0.3039,Netral,Untung aja szobo ga masuk rumah sakit fc wkwkwkwk
100,0.3036,Netral,terima kasih pada fosil dinosaurus terdegradasi yang menjadi minyak bumi dan digunakan untuk bahan bakar mobil yang membawa mama KWON OHYUL ke rumah sakit untuk menghadirkan seorang bidadari cantik seperti KWON OHYUL https://t.co/bqyZJxRns3
101,0.3032,Netral,@bangjoorom @669kel @iiiiiissssstttt @idextratime Lebih baik blg “kami akan kembali” dri pada jotos jotosan sampe masuk rumah sakit oakaowkwowwkowkwkw🤣🤣🤣🤣🤣. Kalah attitude ama anak anak aokwowkwkw
102,0.3029,Netral,"@neitherion Info rumah sakit babak belur dimana ya, Jaspie? Terima kasih banyaak!"
103,0.3026,Netral,"Dua korban selamat dalam tragedi tabrakan antara Bus ALS dan mobil tangki di Jalan Lintas Sumatera, Kabupaten Musi Rawas Utara (Muratara), kini menjalani perawatan intensif di Rumah Sakit Bhayangkara Mohammad Hasan Polda Sumsel.

https://t.co/FyffeHZkhQ"
104,0.3023,Negatif,@munvess sandiwara semu nya rumah sakit...
105,0.3021,Netral,"🧠Berita RSPON - Dalam rangka meningkatkan kompetensi dan kualitas pelayanan kesehatan, Rumah Sakit Pusat Otak Nasional Prof. Dr. dr. Mahar Mardjono Jakarta (RSPON Mahar Mardjono Jakarta) menyelenggarakan Workshop Aseptic Dispensing bagi tenaga kefarmasian dan perawat di https://t.co/G2vN72GVCc"
106,0.3018,Netral,Bekas rumah sakit nak? 🤓 https://t.co/mjmEIPK5EL
107,0.3017,Netral,@naegapiryohae__ Punten itu baju rumah sakit🙏🏼
108,0.3013,Netral,"kantin rumah sakit, wingstop, flash coffee, dan sesak-desak transum https://t.co/RniIaW8sXd"
109,0.3006,Netral,"@Carbaroxabane @madokafc1 @AzaleaBeyond Wkwkwkkw tenang tenang tenang, kerasa banget emosi dan dongkolnya ini pas baca replyannya 🤣🤣🤣🤣🤣🤣
Puskesmas punya ronsen tuh, udah jadi rumah sakit tipe D aja. Wkwkwk"
110,0.3004,Netral,"Pernyataan itu disampaikan Budi Gunadi saat mengunjungi Rumah Sakit Umum Daerah RSUD KH Daud Arif di Kota Kuala Tungkal, Kabupaten Tanjungjabung Barat, Jambi, Rabu (6/5).
https://t.co/lp0MDB46ze"
111,0.3002,Netral,"@GemaGathika SAMAAAAAAAAAA 
Info rumah sakit terdeka-/huek https://t.co/FRIXhthtPo"
